"Index" "Modal.PriceBrinjal" "Modal.PricePotato" "Modal.PriceLadiesfing" "Modal.PriceCarrot" "Modal.PriceTomato" "Modal.Price.bitter.groud" "Modal.Price.beetroot" "Modal.Price.ginger" "Modal.Price.garlic" "PetrolPrice" "Modal.Price.cauliflower" "Modal.Price.cabbage" "Modal.PriceOnion"
"2013-09-15" 2013-09-15 1666.66666666667 1130 1900 933.333333333333 666.666666666667 1566.66666666667 616.666666666667 6500 3116.66666666667 82.1557142857143 1366.66666666667 633.333333333333 1065
"2013-09-22" 2013-09-22 1666.66666666667 1130 1900 933.333333333333 666.666666666667 1566.66666666667 616.666666666667 6500 3116.66666666667 83.62 1366.66666666667 633.333333333333 1030.61224489796
"2013-09-29" 2013-09-29 1841.19047619048 1118.57142857143 1909.82142857143 953.571428571429 716.111111111111 1548.4693877551 634.778911564626 6500 3121.78571428571 83.62 1465.31746031746 654.761904761905 1052.66326530612
"2013-10-06" 2013-10-06 2441.78571428571 1177.67857142857 1938.99350649351 994.642857142857 974.642857142857 1791.07142857143 826.190476190476 4901.78571428571 3087.5 80.08 1571.78571428571 863.531746031746 1263.28571428571
"2013-10-13" 2013-10-13 2374.70238095238 1225 2204.46428571429 1069.04761904762 785.714285714286 1782.05782312925 1133.92857142857 3821.42857142857 2958.80952380952 79.49 1538.69047619048 862.202380952381 1262.91666666667
"2013-10-20" 2013-10-20 2543.26388888889 1430.95238095238 1799.19642857143 1003.57142857143 1036.51785714286 1736.30952380952 1319.10714285714 5367.2619047619 2836.07142857143 79.49 1575.72420634921 1096.14087301587 1069.04761904762
"2013-10-27" 2013-10-27 2610.11904761905 1831.66666666667 2043.53741496599 978.571428571429 1723.97959183673 1953.09523809524 1342.85714285714 4417.2619047619 3125.47619047619 79.49 1667.2619047619 1036.30952380952 998.968253968254
"2013-11-03" 2013-11-03 2485.71428571429 1857.14285714286 2146.17346938776 1105.95238095238 1864.28571428571 1797.61904761905 1172.27891156463 5309.52380952381 3677.61904761905 78.8685714285714 1605.27210884354 1259.52380952381 786.256957328386
"2013-11-10" 2013-11-10 2042.85714285714 2196.90476190476 2000.59523809524 1519.52380952381 2199.74489795918 1793.77344877345 1202.53968253968 5856.90476190476 4299.52380952381 78.04 1258.50340136054 1181.46258503401 731.989795918367
"2013-11-17" 2013-11-17 1809.07738095238 2038.09523809524 2417.2619047619 2234.52380952381 2502.04081632653 1640.92261904762 1027.08333333333 5897.61904761905 5797.02380952381 78.04 985.416666666667 1033.33333333333 832.232142857143
