Modal Price ginger,Price Date
1800,2016/10/18
1900,2016/10/19
1700,2016/10/20
2200,2016/10/21
1500,2016/10/23
1600,2016/10/24
1600,2016/10/25
1500,2016/10/26
1600,2016/10/27
1500,2016/10/28
1500,2016/10/30
1500,2016/10/31
1500,2016/11/02
1500,2016/11/03
1700,2016/11/04
1600,2016/11/06
1700,2016/11/07
1700,2016/11/08
1700,2016/11/09
1500,2016/11/10
1500,2016/11/11
1500,2016/11/13
1500,2016/11/14
1600,2016/11/15
1600,2016/11/16
1500,2016/11/17
1500,2016/11/18
1500,2016/11/20
1100,2016/11/21
1500,2016/11/22
1400,2016/11/23
1100,2016/11/24
1600,2016/11/25
1500,2016/11/27
1300,2016/11/28
1300,2016/11/29
1500,2016/11/30
2300,2016/12/01
1200,2016/12/02
1300,2016/12/04
1200,2016/12/05
2000,2016/12/05
1200,2016/12/06
1300,2016/12/07
1300,2016/12/08
1300,2016/12/09
1300,2016/12/11
1200,2016/12/12
1200,2016/12/13
1200,2016/12/14
1300,2016/12/15
1300,2016/12/16
1300,2016/12/18
1300,2016/12/19
1200,2016/12/20
1200,2016/12/21
1300,2016/12/22
1300,2016/12/23
1200,2016/12/25
1200,2016/12/26
1200,2016/12/27
1200,2016/12/28
1200,2016/12/29
1200,2016/12/30
1200,2017/01/01
1200,2017/01/02
1200,2017/01/03
1200,2017/01/04
1200,2017/01/05
1200,2017/01/06
1200,2017/01/08
1300,2017/01/09
1200,2017/01/10
1300,2017/01/11
1300,2017/01/12
1200,2017/01/13
1200,2017/01/15
1200,2017/01/16
1200,2017/01/17
1400,2017/01/18
1200,2017/01/19
1200,2017/01/24
1200,2017/01/25
1200,2017/01/27
1200,2017/01/29
1200,2017/01/30
1300,2017/01/31
1200,2017/02/01
1200,2017/02/02
1200,2017/02/03
1300,2017/02/05
1300,2017/02/06
1200,2017/02/07
1200,2017/02/08
1200,2017/02/09
1200,2017/02/10
1200,2017/02/12
1200,2017/02/13
1300,2017/02/14
1200,2017/02/15
1300,2017/02/16
1200,2017/02/17
1300,2017/02/23
1300,2017/02/24
1300,2017/02/27
1200,2017/02/28
1200,2017/03/01
1200,2017/03/02
1400,2017/03/03
1300,2017/03/05
1200,2017/03/06
1300,2017/03/08
1200,2017/03/09
1200,2017/03/10
1200,2017/03/12
1200,2017/03/14
2500,2017/03/15
1300,2017/03/16
1200,2017/03/17
1300,2017/03/19
1200,2017/03/20
1300,2017/03/21
1200,2017/03/22
1300,2017/03/23
1300,2017/03/24
1300,2017/03/26
1300,2017/03/27
1300,2017/03/28
1300,2017/03/29
1300,2017/03/30
1200,2017/03/31
1200,2017/04/02
1200,2017/04/03
1300,2017/04/04
1200,2017/04/05
1200,2017/04/06
1200,2017/04/07
1200,2017/04/09
