Modal PriceBrinjal,Price Date
2250,2014/09/18
1750,2014/09/19
2250,2014/09/19
1750,2014/09/20
2000,2014/09/21
1750,2014/09/21
1500,2014/09/22
1400,2014/09/22
1750,2014/09/23
1750,2014/09/23
1500,2014/09/24
2000,2014/09/24
1500,2014/09/25
1500,2014/09/25
1000,2014/09/26
1500,2014/09/26
1400,2014/09/28
1500,2014/09/28
1500,2014/09/29
1400,2014/09/29
850,2014/09/30
1600,2014/09/30
2250,2014/09/30
1300,2014/10/01
1500,2014/10/01
2500,2014/10/01
1500,2014/10/04
1300,2014/10/05
1350,2014/10/05
1500,2014/10/07
2000,2014/10/07
1500,2014/10/08
1750,2014/10/08
1750,2014/10/09
1300,2014/10/09
1500,2014/10/10
1500,2014/10/10
2000,2014/10/10
1600,2014/10/12
1500,2014/10/12
1700,2014/10/12
1750,2014/10/13
1500,2014/10/13
1150,2014/10/13
2150,2014/10/14
1750,2014/10/14
2300,2014/10/14
1750,2014/10/16
2250,2014/10/16
2500,2014/10/16
2000,2014/10/17
1600,2014/10/17
2000,2014/10/19
1500,2014/10/19
2000,2014/10/20
1750,2014/10/20
1750,2014/10/21
1250,2014/10/21
2200,2014/10/21
2000,2014/10/26
1600,2014/10/26
3000,2014/10/26
2000,2014/10/27
1650,2014/10/27
2400,2014/10/27
2000,2014/10/28
1250,2014/10/28
2300,2014/10/28
2000,2014/10/29
2000,2014/10/29
3000,2014/10/29
2000,2014/10/30
1500,2014/10/30
3000,2014/10/30
2000,2014/10/31
1750,2014/10/31
1600,2014/11/01
3000,2014/11/02
1750,2014/11/02
3250,2014/11/03
2200,2014/11/03
3000,2014/11/03
2500,2014/11/05
2750,2014/11/05
2750,2014/11/07
2250,2014/11/07
3000,2014/11/07
2750,2014/11/09
2500,2014/11/09
2500,2014/11/10
2100,2014/11/10
2750,2014/11/11
1750,2014/11/11
2750,2014/11/12
2000,2014/11/12
3000,2014/11/12
2500,2014/11/13
1750,2014/11/13
3750,2014/11/13
2250,2014/11/14
2250,2014/11/14
3750,2014/11/14
2000,2014/11/17
1900,2014/11/17
3250,2014/11/17
2000,2014/11/19
2100,2014/11/19
2000,2014/11/20
2000,2014/11/20
2000,2014/11/21
2350,2014/11/21
3500,2014/11/21
2000,2014/11/23
3500,2014/11/23
3000,2014/11/24
3000,2014/11/24
3000,2014/11/24
3000,2014/11/25
1500,2014/11/25
4000,2014/11/25
3000,2014/11/26
700,2014/11/26
3200,2014/11/26
3500,2014/11/27
3250,2014/11/27
4200,2014/11/27
3500,2014/11/28
1500,2014/11/28
4250,2014/11/28
3500,2014/11/29
4500,2014/11/29
3250,2014/11/30
2500,2014/11/30
4500,2014/11/30
3000,2014/12/01
2900,2014/12/01
