Modal PriceLadiesfing,Price Date
3200,2016/12/20
2500,2016/12/21
2500,2016/12/22
2500,2016/12/23
3200,2016/12/25
2600,2016/12/26
3200,2016/12/27
2500,2016/12/28
1800,2016/12/29
2500,2016/12/30
2700,2017/01/01
2500,2017/01/02
2700,2017/01/03
2500,2017/01/04
3000,2017/01/05
2500,2017/01/06
2500,2017/01/08
3200,2017/01/09
3000,2017/01/10
3200,2017/01/11
2500,2017/01/12
2500,2017/01/13
3200,2017/01/15
2500,2017/01/16
2500,2017/01/17
2500,2017/01/18
3000,2017/01/19
3200,2017/01/24
3200,2017/01/25
2700,2017/01/27
2500,2017/01/29
3200,2017/01/30
2500,2017/01/31
3200,2017/02/01
2800,2017/02/02
2500,2017/02/03
2500,2017/02/05
2500,2017/02/06
2500,2017/02/07
2500,2017/02/08
2500,2017/02/09
2500,2017/02/10
2500,2017/02/12
2500,2017/02/13
2800,2017/02/14
2700,2017/02/15
2500,2017/02/16
2800,2017/02/17
2700,2017/02/23
2700,2017/02/24
2700,2017/02/27
2700,2017/02/28
3200,2017/03/01
2700,2017/03/02
2600,2017/03/03
2700,2017/03/05
3100,2017/03/06
3200,2017/03/07
2800,2017/03/08
2700,2017/03/09
3200,2017/03/10
2500,2017/03/12
2500,2017/03/14
2500,2017/03/15
2500,2017/03/16
3200,2017/03/17
3200,2017/03/19
3300,2017/03/20
3200,2017/03/21
3300,2017/03/22
3200,2017/03/23
2800,2017/03/24
2800,2017/03/26
3300,2017/03/27
3300,2017/03/28
3200,2017/03/29
3300,2017/03/30
3200,2017/03/31
2700,2017/04/02
2700,2017/04/03
2500,2017/04/04
2700,2017/04/05
2800,2017/04/06
2700,2017/04/07
2500,2017/04/09
3000,2012/01/09
3400,2012/01/10
3900,2012/01/11
4000,2012/01/12
3500,2012/01/13
3250,2012/01/14
3500,2012/01/15
3500,2012/01/16
4850,2012/01/19
3100,2012/01/20
4750,2012/01/21
4700,2012/01/24
4750,2012/01/25
4600,2012/01/31
5400,2012/02/01
5750,2012/02/02
4000,2012/02/03
4350,2012/02/07
4500,2012/02/09
5000,2012/02/12
4300,2012/02/13
4250,2012/02/14
4200,2012/02/17
5500,2012/02/20
5000,2012/02/23
4500,2012/02/26
5150,2012/03/01
4000,2012/03/25
4250,2012/03/26
4700,2012/03/29
3900,2012/04/02
4000,2012/04/03
3900,2012/04/08
3100,2012/04/09
3000,2012/04/10
2500,2012/04/12
2400,2012/04/17
2500,2012/04/18
2800,2012/04/23
3000,2012/04/24
2500,2012/04/25
2000,2012/05/21
6300,2016/07/11
6300,2016/07/12
4700,2016/07/13
4700,2016/07/14
3400,2016/07/15
3800,2016/07/17
2400,2016/07/18
2700,2016/07/19
3700,2016/07/20
2700,2016/07/21
4200,2016/07/22
4300,2016/07/23
4000,2016/07/24
4100,2016/07/25
4100,2016/07/26
4400,2016/07/27
2250,2016/07/28
2400,2016/07/29
2800,2016/07/30
2800,2016/07/31
2300,2016/08/01
3200,2016/08/02
2700,2016/08/03
1800,2016/08/04
2600,2016/08/05
2100,2016/08/06
3500,2016/08/07
3100,2016/08/08
2800,2016/08/09
