Modal Price termaric, Date
17000,2010/07/28
17000,2010/07/29
17000,2010/07/30
17000,2010/07/31
17000,2010/08/02
16750,2010/08/04
17000,2010/08/05
17000,2010/08/06
16250,2010/08/07
16250,2010/08/09
1800,2010/08/10
1825,2010/08/11
16500,2010/08/12
16500,2010/08/13
16500,2010/08/14
16500,2010/08/16
16500,2010/08/17
16500,2010/08/18
16500,2010/08/21
16500,2010/08/23
16750,2010/08/24
16750,2010/08/25
16750,2010/08/27
16750,2010/08/28
16750,2010/08/30
16750,2010/08/31
16750,2010/09/01
16750,2010/09/02
16750,2010/09/04
16750,2010/09/07
17500,2010/09/14
17500,2010/09/15
17250,2010/09/16
18500,2010/09/17
16500,2010/09/18
16500,2010/09/20
16500,2010/09/21
16500,2010/09/22
16250,2010/09/24
16250,2010/09/25
16500,2010/09/27
16250,2010/09/28
16500,2010/09/29
16500,2010/09/30
16500,2010/10/01
16500,2010/10/02
16500,2010/10/04
16500,2010/10/06
16500,2010/10/07
16500,2010/10/09
16500,2010/10/12
16500,2010/10/13
18000,2010/10/14
17000,2010/10/15
16700,2010/10/16
17250,2010/10/18
16750,2010/10/19
16750,2010/10/20
15000,2010/10/21
16750,2010/10/22
17050,2010/10/23
16050,2010/10/25
17500,2010/10/26
17500,2010/10/30
16750,2010/11/01
16050,2010/11/02
16750,2010/11/03
17500,2010/11/04
17500,2010/11/07
17500,2010/11/11
17500,2010/11/12
17500,2010/11/13
17500,2010/11/15
17500,2010/11/16
17500,2010/11/17
17500,2010/11/18
17500,2010/11/19
17500,2010/11/20
17500,2010/11/22
17500,2010/11/23
17500,2010/11/24
17500,2010/11/25
17500,2010/11/26
17500,2010/11/27
17500,2010/11/30
17500,2010/12/01
17500,2010/12/02
19000,2010/12/03
19000,2010/12/04
19000,2010/12/06
19000,2010/12/07
19000,2010/12/08
19000,2010/12/10
19000,2010/12/11
19000,2010/12/13
19000,2010/12/14
19000,2010/12/15
19750,2010/12/16
19750,2010/12/17
19250,2010/12/20
